"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"NCAPH",1.30380540784234,6.15469935932124,11.9325063800684,3.82054088612162e-18,8.11920276378569e-17,30.8047544933052,"Upregulated"
"FAM83D",1.62585143405581,7.25180271156202,11.9216506934702,3.98184653621753e-18,8.44243531493983e-17,30.763423694486,"Upregulated"
"KIF18A",1.50795412751903,5.43519561645674,11.9043480916335,4.25326812604938e-18,8.96608476226961e-17,30.6975182497796,"Upregulated"
"NUF2",1.74206658114872,5.41892871839683,11.894180746081,4.42138644984849e-18,9.29910865713548e-17,30.6587741269365,"Upregulated"
"EPHB3",1.37447994783532,8.23008737357141,11.8881368204932,4.5244828496955e-18,9.50504186293419e-17,30.6357369965604,"Upregulated"
"SLC39A10",1.466038172307,7.26924131912186,11.8709935072544,4.83029425051543e-18,1.00667723357333e-16,30.5703693829361,"Upregulated"
"NUDT1",1.04102712194743,6.55092871104563,11.8207294942145,5.85253816900514e-18,1.20331334102639e-16,30.3785092274974,"Upregulated"
"AADAT",1.16246912628795,5.62892779283682,11.8168178916883,5.94070221938525e-18,1.22007254987151e-16,30.3635657818986,"Upregulated"
"MCM7",1.08626732812302,8.38425110485541,11.7698096364151,7.11110364157677e-18,1.44107890371843e-16,30.1838380496971,"Upregulated"
"JADE3",1.09418476210019,6.36714841986559,11.7608137157501,7.36030592202778e-18,1.48665209922896e-16,30.1494137631506,"Upregulated"
"SPDL1",1.1492521274906,6.41632699568733,11.7591023789463,7.40870044917441e-18,1.49478070668711e-16,30.1428639788888,"Upregulated"
"HYAL1",2.09676503515347,6.69265139828929,11.752806255136,7.58952498050243e-18,1.52622684366683e-16,30.118763886717,"Upregulated"
"TSPAN5",1.01273169537586,5.74408221252393,11.6865652431292,9.78407767485261e-18,1.93153912332397e-16,29.8649241715928,"Upregulated"
"CD55",1.80531075197045,8.61357025948732,11.6577544125802,1.09286543055233e-17,2.14594775121304e-16,29.7543575929429,"Upregulated"
"BOK",1.15848598036191,6.21351314155592,11.643186337552,1.15578646914572e-17,2.26223306767689e-16,29.6984128959712,"Upregulated"
"REPS2",1.00637185943814,6.5247011277501,11.5975547198342,1.37751785192036e-17,2.66213671277338e-16,29.5230160829562,"Upregulated"
"NUSAP1",1.44011741751313,8.17192095667389,11.5676148429919,1.54583970068607e-17,2.95319792818569e-16,29.4078022179886,"Upregulated"
"PTTG1",1.15280250503516,9.72160692984536,11.5647259475776,1.56313993451505e-17,2.98004016621684e-16,29.3966797156029,"Upregulated"
"SFR1",1.01596000277571,6.62703136392731,11.5542452977612,1.62755836734332e-17,3.09641291048512e-16,29.3563201318704,"Upregulated"
"CBR3",1.478299281765,6.55588819825184,11.5409584629114,1.71308655039893e-17,3.2456619147021e-16,29.3051359389094,"Upregulated"
"NCAPG",1.55149371344576,6.52958519609302,11.5402455254832,1.71780177588009e-17,3.25123679769255e-16,29.3023889466602,"Upregulated"
"TRIM29",1.04951030247919,6.17283895224125,11.5361010453252,1.74547275528221e-17,3.29341258558393e-16,29.2864188379226,"Upregulated"
"NDC80",1.76268705013061,6.57419021230862,11.5315682490764,1.77625104246318e-17,3.34117375577177e-16,29.268950130556,"Upregulated"
"RFC2",1.01770192633205,7.39021034535136,11.5300564771596,1.78663734868624e-17,3.35409089360541e-16,29.2631234612882,"Upregulated"
"CXCL3",2.8340184922615,6.89869174814026,11.5208764015982,1.85103480855552e-17,3.46054825575008e-16,29.2277359345913,"Upregulated"
"TTK",1.77929963111366,6.74966651644143,11.5188182070663,1.8657910123007e-17,3.48458321441902e-16,29.2198006271426,"Upregulated"
"KNSTRN",1.18425519315902,7.25051429980621,11.5005165727238,2.00233161662281e-17,3.72441803740997e-16,29.1492176487536,"Upregulated"
"ATAD2",1.23179860478663,5.79472172431378,11.4862702005564,2.11555472500821e-17,3.91121710248494e-16,29.094247579848,"Upregulated"
"IFITM2",1.20006599457807,10.0252037759339,11.4674330726167,2.27523391651272e-17,4.18533500790805e-16,29.0215279708167,"Upregulated"
"LGR5",2.43572108564552,6.6061918424628,11.4647634694877,2.29882609636476e-17,4.22026732806104e-16,29.0112188181104,"Upregulated"
"SUV39H2",1.06709233882542,7.30790893935279,11.4566837210674,2.37174261193437e-17,4.33676565332765e-16,28.9800124162068,"Upregulated"
"EXO1",1.09758382089793,6.35976394409072,11.4397332579738,2.53237915421805e-17,4.61209867808927e-16,28.9145202658876,"Upregulated"
"CENPS",1.12602326101918,7.11128241872926,11.4331649324094,2.59753472759857e-17,4.72607012938073e-16,28.8891331034323,"Upregulated"
"DDIAS",1.18419508684844,5.55908308307174,11.4319221504365,2.61005147825307e-17,4.74413717652739e-16,28.8843290835656,"Upregulated"
"BUB1",1.13340010777388,5.47355217331512,11.4205342083568,2.72761417714234e-17,4.93337712118249e-16,28.8403003234245,"Upregulated"
"HMMR",1.46224896719442,7.38873233256431,11.3962020060048,2.99700463925645e-17,5.38345397492295e-16,28.7461759097575,"Upregulated"
"ME1",1.34111054074602,6.43902947420351,11.3732014522346,3.27627673100203e-17,5.82237550838927e-16,28.657140539012,"Upregulated"
"APIP",1.43781922750912,9.72795335026479,11.3703201028518,3.31306269391786e-17,5.88204935202842e-16,28.6459825563399,"Upregulated"
"NEK2",1.52644684520219,6.4697910326974,11.3537563922199,3.53275144630483e-17,6.22987130050293e-16,28.581821506445,"Upregulated"
"CDC6",1.70461377390316,5.54393465614269,11.3041091865281,4.28322975859357e-17,7.44591789313801e-16,28.3893220074927,"Upregulated"
"CXCL1",2.71665994770266,6.99876636788092,11.2933059060072,4.4667508699629e-17,7.74293109216631e-16,28.3473969972048,"Upregulated"
"ECM1",1.43803259992713,7.39558657948747,11.2586646413925,5.11040390402929e-17,8.7429857835725e-16,28.2128736758016,"Upregulated"
"FGGY",1.15777316697531,7.15016297292417,11.2580905441484,5.12182364377553e-17,8.74620536562786e-16,28.2106431328148,"Upregulated"
"SHCBP1",1.52453083865217,5.41258908093284,11.2411970042627,5.46962512806145e-17,9.31410629978152e-16,28.1449900284813,"Upregulated"
"KIF14",1.41263160647495,5.24207474161488,11.2287172885328,5.74175495157843e-17,9.70872664548117e-16,28.0964697741949,"Upregulated"
"NPM3",1.03027895595539,6.12827795457696,11.2279233560468,5.75952182214775e-17,9.72648528712613e-16,28.0933824313895,"Upregulated"
"DLGAP1-AS2",1.67563142408736,5.81979723119358,11.2203397850116,5.93204584835664e-17,9.93585852350362e-16,28.0638888638397,"Upregulated"
"MACC1",1.17812563331543,5.56113785275695,11.1627666853222,7.42350481320818e-17,1.22434422908487e-15,27.8397700981894,"Upregulated"
"TRIB3",1.09757346464765,5.90080693635436,11.1308321208172,8.40827713408842e-17,1.37685538070698e-15,27.715297744533,"Upregulated"
"MCM10",1.07649325363579,4.98792173290432,11.1222345891564,8.69520748387529e-17,1.41827626974625e-15,27.6817676460219,"Upregulated"
"ASF1B",1.10333953160321,7.16353731010754,11.1220965084127,8.69989532968663e-17,1.41827626974625e-15,27.6812290691078,"Upregulated"
"AP1S3",1.26086836796933,4.37412107751663,11.1066899881193,9.2392637968871e-17,1.49954069057442e-15,27.6211235471414,"Upregulated"
"CXCL8",2.72194236087348,5.91991565926561,11.0960361352204,9.6318297943371e-17,1.55911525532341e-15,27.5795443738025,"Upregulated"
"MSH2",1.04077174211455,7.20306423240216,11.0633600325225,1.09438304912286e-16,1.75292446470858e-15,27.4519406252098,"Upregulated"
"KLK10",3.08424718624315,6.17000517661793,11.0435352190687,1.18261326268665e-16,1.88110383674529e-15,27.3744657370393,"Upregulated"
"UHRF1",1.29863715526177,7.22017750776159,11.0429800948829,1.18518438804511e-16,1.88192914950194e-15,27.3722957092312,"Upregulated"
"KIF2C",1.26453697802885,6.91451611702797,11.0032795944909,1.38444878273995e-16,2.17759782808325e-15,27.2170163191608,"Upregulated"
"KIF4A",1.4554655823066,6.27231001371274,10.9962176787393,1.42327910816331e-16,2.23675568497987e-15,27.1893773776913,"Upregulated"
"ODAM",2.22145160481783,4.78913373892964,10.9837562282029,1.49449452668359e-16,2.33865440438371e-15,27.1405925942974,"Upregulated"
"ZWILCH",1.15683617642583,7.73261297634543,10.967009125543,1.59588888603872e-16,2.4824938227269e-15,27.0750037514263,"Upregulated"
"HOXB9",1.09711917148719,7.65025742211108,10.9467018793588,1.72818101368163e-16,2.66791580731658e-15,26.9954314355654,"Upregulated"
"SPAG5",1.06549268494501,7.5641555660388,10.9322401367084,1.82907652264863e-16,2.80713501467581e-15,26.93873732208,"Upregulated"
"MRAP2",1.30627121702665,7.47352426583794,10.9180988546187,1.93347261789892e-16,2.9525302091812e-15,26.8832778968325,"Upregulated"
"RAD51",1.0154679092767,6.91711119305229,10.9038322567131,2.04487781136733e-16,3.10970638975761e-15,26.8273054088771,"Upregulated"
"RAD51AP1",1.36113091948041,7.29702563021728,10.8944154742701,2.12193164485851e-16,3.2162170550996e-15,26.7903484597227,"Upregulated"
"SGO2",1.40812955655062,6.22817385432953,10.8576061003784,2.45224701598291e-16,3.68037727275995e-15,26.645796833033,"Upregulated"
"TOP2A",1.38701086235239,8.38186784915087,10.8379427970482,2.64944584285019e-16,3.95690853077138e-15,26.5685197773191,"Upregulated"
"NMU",2.19240206066663,6.17618583044302,10.7991723949043,3.08630825737547e-16,4.54586809662748e-15,26.4160326536573,"Upregulated"
"MSX1",1.19712273784007,4.58844718632642,10.795164578626,3.1354168507877e-16,4.60396677689723e-15,26.4002606243171,"Upregulated"
"DIAPH3",1.07911793142904,5.65146428236489,10.7772096614185,3.36526340177571e-16,4.92176481567516e-15,26.3295817845047,"Upregulated"
"GPCPD1",1.10365876751527,7.29653930658112,10.7336806303853,3.9954525643122e-16,5.75621367081585e-15,26.1580925962886,"Upregulated"
"ASRGL1",1.17558410247255,8.13288807752566,10.732482662077,4.01438318905178e-16,5.77441472056546e-15,26.1533702508616,"Upregulated"
"NUP62CL",1.086966623823,5.18270764226869,10.7196449024504,4.22300718046174e-16,6.04133788530954e-15,26.1027550162071,"Upregulated"
"IFITM1",1.34396052935361,10.8156542593457,10.7085122759697,4.41274101762354e-16,6.29802881425803e-15,26.0588488694277,"Upregulated"
"NFXL1",1.00621702752293,6.69783879174725,10.6730142662119,5.07699379443117e-16,7.15696127516278e-15,25.9187629566195,"Upregulated"
"MCM6",1.08296220836081,9.06291418440115,10.6337134746224,5.93055415616066e-16,8.25864565102403e-15,25.763520500236,"Upregulated"
"GCLM",1.11902047899126,6.51502002734662,10.631684873241,5.97834192522219e-16,8.31256943961903e-15,25.7555030565977,"Upregulated"
"PSMG1",1.20868637352698,8.58845011247237,10.6275548770308,6.07683357606338e-16,8.43672428349753e-15,25.7391791912033,"Upregulated"
"RFC4",1.20817162987941,7.84528448846603,10.6071971180084,6.58672263442056e-16,9.09642267434286e-15,25.6586897631242,"Upregulated"
"FIGNL1",1.28338838786671,6.34741776351417,10.5656208631813,7.76587740879467e-16,1.06208942339518e-14,25.4941786646174,"Upregulated"
"MMP3",3.64273570210347,5.84288314693628,10.5514529294621,8.21448549519336e-16,1.11855676568025e-14,25.4380788618734,"Upregulated"
"SRPX2",1.6326265740582,4.90252176371502,10.5382449574949,8.65616770797431e-16,1.17075306610803e-14,25.3857622152509,"Upregulated"
"IGFBP2",2.30084489240605,9.19489124371199,10.5330696117066,8.83568387649841e-16,1.19327277094979e-14,25.3652580128718,"Upregulated"
"MCM2",1.15609594537168,7.84829036010844,10.5018915560281,9.99929090499073e-16,1.34152886025991e-14,25.2416777861591,"Upregulated"
"CKAP2L",1.08570663281633,5.67486602475103,10.4995363536697,1.0093217965423e-15,1.35215206344674e-14,25.2323386052312,"Upregulated"
"EPHB2",1.00055849103305,7.65920316276298,10.457727567311,1.19165301693114e-15,1.57456169528221e-14,25.0664622476274,"Upregulated"
"CENPH",1.20045635937029,7.32814413717621,10.4557540744231,1.20103586668891e-15,1.58452518453604e-14,25.0586282064267,"Upregulated"
"FOXP4-AS1",1.24985502825806,5.19851474648593,10.4544794927544,1.20713526572219e-15,1.58929366642822e-14,25.0535683848886,"Upregulated"
"HAUS6",1.24552881296343,6.09432684282433,10.4424881931198,1.2660669872471e-15,1.66092049686064e-14,25.0059577328731,"Upregulated"
"CENPE",1.44004604946457,6.30496966062356,10.4015982078436,1.48967805670333e-15,1.9362647455662e-14,24.8435024261115,"Upregulated"
"PLK1",1.06452363451596,6.54566290911042,10.3721736075738,1.67481441267996e-15,2.16310537525003e-14,24.7264997387571,"Upregulated"
"CLIC3",1.89558596421038,5.96097174507131,10.3680497864307,1.70254898089892e-15,2.19737848766264e-14,24.7100953661643,"Upregulated"
"TRAF5",1.35602276236853,7.55529909760406,10.3332021439151,1.95615870252046e-15,2.49832525099062e-14,24.5714087022887,"Upregulated"
"NICOL1",1.2773884205211,7.71675142380625,10.2899776348584,2.32421482170024e-15,2.92360081138425e-14,24.3992250599561,"Upregulated"
"DUOXA2",2.30112574322362,7.2399017780622,10.2716603607816,2.50050981383123e-15,3.1239339227292e-14,24.3262061313704,"Upregulated"
"CEP76",1.18637232676994,6.47866972505382,10.2554960842102,2.66722930549052e-15,3.31191506179391e-14,24.2617439762559,"Upregulated"
"FHL2",1.07465336597175,10.254943094381,10.2450358310493,2.78103288614226e-15,3.44157511011127e-14,24.2200162762411,"Upregulated"
"DUOX2",3.25524962788371,8.42816924571829,10.2292007727248,2.96267756509169e-15,3.64423249790621e-14,24.1568284505176,"Upregulated"
"KIF11",1.46977585954986,7.00273160431878,10.1802063424512,3.60386805289998e-15,4.3598245442075e-14,23.9611773993189,"Upregulated"
"DEPDC1B",1.1280292609322,5.04544380307488,10.1601478949172,3.90508978779176e-15,4.68406453290391e-14,23.8810146799119,"Upregulated"
"NPDC1",1.20239107947406,8.88088067783388,10.1271640246891,4.45649458550688e-15,5.32456747219519e-14,23.7491176975578,"Upregulated"
"E2F5",1.00759743103391,6.44502706426428,10.1091654124965,4.78975522211227e-15,5.70416303724279e-14,23.6771034451024,"Upregulated"
"CHRM3",1.0658169482937,5.82634447218667,10.105968305063,4.85152264756435e-15,5.77397309255874e-14,23.6643085003317,"Upregulated"
"KLRK1-AS1",1.61346777133426,5.85807292039254,10.0834254127429,5.31039483184668e-15,6.27529904742707e-14,23.5740654441308,"Upregulated"
"PSRC1",1.12849647171859,5.99498630865387,10.0706196919801,5.59025316837382e-15,6.58056759357997e-14,23.5227821010554,"Upregulated"
"SLCO1B3",2.84288212177775,5.03301753827353,10.0684286842559,5.63960084873818e-15,6.63439894585364e-14,23.5140062904315,"Upregulated"
"SBSPON",2.79717505724756,5.47576800800663,10.0438881008897,6.22318581723249e-15,7.27426563977335e-14,23.4156834827288,"Upregulated"
"LCN2",2.88979721453327,10.5746296841697,9.97064319085638,8.35198137555629e-15,9.59745228243749e-14,23.1219167210773,"Upregulated"
"FZD6",1.08113169330786,7.10359327332025,9.96413829791937,8.57328866353412e-15,9.83327792928178e-14,23.0958051828306,"Upregulated"
"DDIT4",1.3817828144724,8.46052824035624,9.94437176491101,9.28262815886668e-15,1.05544575594306e-13,23.0164377560117,"Upregulated"
"APOBEC1",2.17082171677159,6.81125371338254,9.94256614176779,9.35029547498052e-15,1.06116595922737e-13,23.0091861085097,"Upregulated"
"FAM169A",1.84020444031345,5.69339056864573,9.92509447872943,1.0031233486018e-14,1.12866762045135e-13,22.9390032954445,"Upregulated"
"CCND1",1.03724954867344,7.20445731662763,9.91618695897131,1.03973653706491e-14,1.1662855100777e-13,22.9032124561276,"Upregulated"
"ZNF239",1.11327319269353,5.3715413966751,9.90337035410272,1.09478797576045e-14,1.22354731721187e-13,22.8517032042777,"Upregulated"
"KIF15",1.30914650841674,6.65096425878663,9.88998588392214,1.15540999570902e-14,1.2858142792053e-13,22.7978972813251,"Upregulated"
"POC1B",1.07617294934379,7.80773405441564,9.83712695675541,1.4296795152228e-14,1.5672121409541e-13,22.5852601123481,"Upregulated"
"DPEP1",2.25563264306086,6.61676461215343,9.82688138493839,1.48997963051958e-14,1.62752986442698e-13,22.5440188167301,"Upregulated"
"RHOBTB3",1.02512381107758,7.72248658061797,9.76534199110226,1.90996968141371e-14,2.05930887461067e-13,22.2961298356641,"Upregulated"
"KCTD14",1.01076555128655,7.34109110610397,9.76137869901854,1.94078195154729e-14,2.09130088080948e-13,22.280154939395,"Upregulated"
