"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"TTLL6",-1.21604135522811,5.96441575256879,-10.4188355408501,1.39093504896329e-15,1.81719881294541e-14,24.9120057155757,"Downregulated"
"LAMA1",-1.21190660020006,5.74162292696458,-10.3767510674626,1.64456090183831e-15,2.12552832556128e-14,24.7447067719206,"Downregulated"
"OLFML3",-1.33759557516014,6.85342339195653,-10.3354798357042,1.93847821505792e-15,2.47746971875696e-14,24.5804769641141,"Downregulated"
"FRMD6",-1.28148850882756,5.74520042144898,-10.3236460672119,2.0321232657128e-15,2.59173440147237e-14,24.5333574076181,"Downregulated"
"CCL15",-1.11050496691496,8.55839627278781,-10.3125596323737,2.12398085145368e-15,2.69763218945017e-14,24.4892016440517,"Downregulated"
"BEST2",-2.1063941870629,7.25983831131497,-10.2966701253419,2.26296894330775e-15,2.85862381762524e-14,24.4258958390582,"Downregulated"
"HLA-DPA1",-1.41183144519576,9.0343192707399,-10.291275441739,2.31220906981549e-15,2.91049515033741e-14,24.404397379975,"Downregulated"
"CCL19",-2.85354455247449,6.20185387064695,-10.2600090880391,2.61958739017046e-15,3.25937806890951e-14,24.2797439904096,"Downregulated"
"SOSTDC1",-1.58105256021349,7.45839687165971,-10.2405089372119,2.83178641774984e-15,3.49966057287952e-14,24.2019546192534,"Downregulated"
"HPGDS",-1.63130433010176,5.35259453200687,-10.2207751398081,3.06414595261338e-15,3.75486167107471e-14,24.1231976528489,"Downregulated"
"CASD1",-1.10463291505897,7.75468960669061,-10.2048641235128,3.26539312916769e-15,3.97658100856145e-14,24.0596713866101,"Downregulated"
"IGFBP3",-1.65448387195454,8.26049550418731,-10.1954950913928,3.39006192000409e-15,4.11746593462748e-14,24.0222538529778,"Downregulated"
"CRYBA2",-1.13030165880289,4.47348011198193,-10.1645061127501,3.83755778259936e-15,4.60909035578731e-14,23.8984351857088,"Downregulated"
"NAGS",-1.02090384489296,5.67877661787942,-10.1617626753203,3.87992995046795e-15,4.65693162903025e-14,23.8874694187363,"Downregulated"
"SLC31A2",-1.01018781203275,6.75172751096156,-10.1535207707027,4.01007730195833e-15,4.80284169072953e-14,23.8545217215823,"Downregulated"
"LEAP2",-1.33666138365764,6.08841027926629,-10.144111560124,4.16403503095641e-15,4.97838347247331e-14,23.8169001884554,"Downregulated"
"C1QA",-1.17970831153751,8.9553358432364,-10.0970105035458,5.02888602449418e-15,5.97343067935384e-14,23.6284542392001,"Downregulated"
"MT1G",-1.21566068257164,7.89158493334312,-10.0459793378837,6.17117205674685e-15,7.22267361332082e-14,23.42406414223,"Downregulated"
"ITGA4",-1.2850521525752,5.16020708330473,-10.0281966826186,6.62779473232289e-15,7.72260199433303e-14,23.352787867214,"Downregulated"
